user_id,signup_date,country,acquisition_channel,plan_type,email
1,2024-05-05,MD,organic,free,user1@gmail.com
2,2024-12-02,NL,ads,free,user2@mail.com
3,2024-09-21,ES,organic,free,user3@mail.com
4,2024-08-05,IT,ads,free,user4@gmail.com
5,2024-02-15,ES,ads,premium,user5@mail.com
6,2024-02-15,NL,ads,free,user6@gmail.com
7,2024-01-18,IT,organic,free,user7@mail.com
8,2024-10-31,RO,ads,free,user8@gmail.com
9,2024-08-06,DE,referral,premium,user9@mail.com
10,2024-09-14,UA,ads,basic,user10@gmail.com
11,2024-01-07,UA,social,free,user11@gmail.com
12,2024-12-09,UA,social,premium,
13,2024-10-21,CA,ads,premium,user13@example.com
14,2024-03-04,CA,ads,free,user14@mail.com
15,2024-02-23,US,ads,free,user15@example.com
16,2024-02-23,DE,social,free,user16@gmail.com
17,2024-04-08,IT,,free,user17@gmail.com
18,2024-07-04,UA,organic,basic,user18@gmail.com
19,2024-05-27,DE,referral,free,user19@example.com
20,2024-04-03,IT,organic,free,user20@example.com
21,2024-08-10,UK,organic,basic,user21@example.com
22,2024-02-11,PL,ads,free,user22@mail.com
23,2024-04-03,UK,ads,free,user23@outlook.com
24,2024-05-01,IT,ads,basic,user24@mail.com
25,2024-06-05,CA,ads,basic,user25@example.com
26,2024-10-07,RO,organic,basic,user26@outlook.com
27,2024-02-28,MD,ads,basic,user27@example.com
28,2024-06-30,MD,unknown,free,user28@outlook.com
29,2024-08-02,CA,unknown,free,user29@gmail.com
30,2024-01-14,MD,ads,premium,user30@mail.com
31,2024-08-09,CA,social,free,user31@gmail.com
32,2024-02-20,UA,ads,free,user32@mail.com
33,2024-01-20,PL,organic,free,user33@mail.com
34,2024-12-01,UK,organic,free,user34mail.com
35,2024-12-07,US,social,free,user35@gmail.com
36,2024-10-14,ES,social,free,user36@gmail.com
37,2024-04-08, ro,ads,free,user37@mail.com
38,2024-01-29,PL,ads,free,user38@mail.com
39,2024-09-07,UK,organic,basic,user39@mail.com
40,2024-05-30,PL,ads,free,user40@mail.com
41,2024-02-05,DE,social,basic,user41@gmail.com
42,2024-06-22,ES,ads,free,user42@mail.com
43,2024-01-11,NL,social,free,user43@mail.com
44,2024-11-16,MD,ads,premium,user44@example.com
45,2024-03-21,UA,ads,free,user45@example.com
46,2024-09-01,NL,social,basic,user46@mail.com
47,2024-04-11,PL,ads,basic,user47@gmail..com
48,2024-07-02,RO,social,free,user48@gmail.com
49,2024-07-14,UK,ads,free,user49@gmail.com
50,2024-02-24,MD,social,premium,user50@mail.com
51,2024-12-09,US,ads,free,user51@gmail.com
52,2024-10-04,UA,ads,free,user52@gmail.com
53,2024-11-27,ES,social,basic,user53@gmail.com
54,2024-11-10,UA,referral,free,user54@example.com
55,2024-08-04,US,organic,,user55@example.com
56,2024-11-21,UA,social,free,user56@example.com
57,2024-01-27,,referral,premium,user57@gmail.com
58,2024-02-27,UK,ads,free,user58@gmail.com
59,2024-01-14,FR,organic,premium,user59@mail.com
60,2024-04-16,IT,organic,basic,user60@outlook.com
61,2024-05-10,NL,social,free,user61@example.com
62,2024-03-26,PL,organic,free,user62@gmail.com
63,2024-10-20,US,ads,free,user63@gmail.com
64,2024-04-28,PL,ads,premium,user64@gmail.com
65,2024-03-30,CA,referral,free,user65@mail.com
66,2024-07-12,MD,organic,premium,user66@mail
67,2024-02-11,MD,organic,free,user67@gmail.com
68,2024-10-12,MD,ads,free,user68@example.com
69,2024-01-22,UA,organic,premium,user69@mail.com
70,2024-12-15,CA,social,basic,user70@mail.com
71,2024-10-03,US,organic,free,user71@example.com
72,2024-02-28,DE,social,free,user72@mail.com
73,2024-01-02,MD,social,free,user73@gmail.com
74,2024-10-16,CA,referral,basic,user74@gmail.com
75,2024-09-14,RO,organic,free,user75@gmail.com
76,2024-09-20,US,social,free,user76@gmail.com
77,2024-10-03,UK,social,basic,user77@mail.com
78,2024-01-22,UA,organic,premium,user78@example.com
79,2024-04-28,MD,social,basic,user79@gmail.com
80,2024-02-04,US,ads,premium,user80@mail.com
81,2024-10-30,US,referral,free,user81@outlook.com
82,2024-08-15,UA,social,basic,user82@mail.com
83,2024-04-18,DE,social,free,user83@example.com
84,2024-01-19,US,unknown,free,user84@outlook.com
85,2024-04-10,US,ads,free,user85@mail.com
86,2024-04-16,RO,social,free,user86@outlook.com
87,2024-09-20,UA,referral,basic,user87@outlook.com
88,2024-08-21,MD,referral,basic,user88@gmail.com
89,2024-11-07,RO,social,free,
90,2024-06-12,CA,organic,free,user90@gmail.com
91,2024-02-05,UK,social,free,user91@gmail.com
92,2024-09-16,CA,social,free,user92@mail.com
93,2024-09-30,UA,ads,free,user93@mail.com
94,2024-07-20,UK,referral,free,user94@mail.com
95,2024-10-03,CA,social,free,user95@gmail.com
96,2024-06-21,UK,organic,premium,user96@example.com
97,2024-07-04,UA,social,free,user97@mail.com
98,2024-05-25,CA,social,basic,user98@example.com
99,2024-01-08,CA,social,free,user99@gmail.com
100,2024-02-01,MD,social,free,user100@gmail.com
101,2024-01-10,MD,ads,free,user101@mail.com
102,2024-08-21,ES,ads,basic,user102@mail.com
103,2024-04-12,IT,ads,free,user103@mail.com
104,2024-06-28,US,social,free,user104@mail.com
105,2024-11-15,DE,referral,free,user105@mail.com
106,2024-03-18,US,ads,premium,user106@example.com
107,2024-05-18,UK,referral,free,user107@example.com
108,2024-09-28,PL,ads,basic,user108@mail.com
109,2024-03-10,IT,social,free,user109@mail.com
110,2024-01-23,RO,ads,premium,user110@mail.com
111,2024-04-02,UA,ads,free,user111@mail.com
112,2024-02-17,DE,referral,free,user112@gmail.com
113,2024-11-24,UA,,free,user113@gmail.com
114,2024-10-14,ES,ads,basic,user114@example.com
115,2024-08-20,DE,referral,basic,user115@mail.com
116,2024-11-01,MD,social,free,user116@mail.com
117,2024-10-12,UK,social,premium,user117@gmail.com
118,,MD,referral,free,USER118@GMAIL.COM
119,2024-11-09,US,referral,premium,user119@mail.com
120,2024-07-11,UA,ads,basic,user120@mail.com
121,2024-10-13,NL,referral,basic,user121@mail.com
122,2024-11-11,UA,referral,free,user122@gmail.com
123,2024-04-13,UA,ads,basic,user123@gmail.com
124,2024-02-02,CA,social,basic,user124@gmail..com
125,2024-03-10,DE,organic,free,user125@gmail.com
126,2024-05-25, ro,unknown,premium,user126@mail.com
127,2024-10-16,UK,referral,free,user127@example.com
128,2024-10-29,US,social,free,user128@example.com
129,2024-01-03,MD,social,basic,user129@mail.com
130,2024-06-28,IT,ads,premium,user130@mail.com
131,2024-05-21,DE,ads,free,user131@mail.com
132,2024-03-07,ES,ads,premium,user132@gmail.com
133,2024-02-05,UK,organic,free,user133@outlook.com
134,2024-04-21,UK,social,premium,user134@example.com
135,2024-11-29,FR,referral,basic,user135@mail.com
136,2024-04-15,DE,referral,free,user136@mail.com
137,2024-07-02,US,organic,free,user137@gmail.com
138,2024-09-13,CA,ads,free,user138@mail.com
139,2024-04-30,NL,social,free,USER139@GMAIL.COM
140,2024-12-10,UA,social,basic,user140@gmail.com
141,2024-12-06,UK,ads,free,
142,2024-03-19,DE,organic,free,user142@mail.com
143,2024-06-23,UA,organic,free,user143@gmail.com
144,2024-04-06,CA,organic,basic,user144@mail.com
145,2024-03-31,IT,organic,free,user145@example.com
146,2024-01-11,MD,organic,premium,user146@mail.com
147,2024-08-09,IT,referral,free,user147@example.com
148,2024-06-25,UA,referral,free,user148@gmail.com
149,2024-01-16,PL,organic,basic,user149@mail.com
150,2024-03-29,CA,referral,free,user150@outlook.com
151,2024-11-15,CA,social,free,user151@mail.com
152,2024-03-14,UK,organic,free,user152@gmail.com
153,2024-02-12,RO,referral,free,user153@gmail.com
154,2024-06-19,UK,ads,free,user154@mail.com
155,2024-12-15,MD,referral,basic,user155@example.com
156,2024-03-15,DE,referral,premium,user156@mail.com
157,2024-09-04,ES,social,free,user157@mail.com
158,2024-09-30,DE,organic,free,user158@example.com
159,2024-03-13,FR,social,premium,user159@gmail.com
160,2024-09-20,UK,organic,free,user160@gmail.com
161,2024-05-02,FR,ads,basic,user161@mail.com
162,2024-08-19,US,social,premium,user162@mail.com
163,2024-08-20,RO,referral,free,user163@mail.com
164,2024-07-09,US,organic,free,user164@example.com
165,2024-01-27,RO,ads,basic,user165@mail.com
166,2024-10-22,ES,ads,basic,user166@gmail.com
167,2024-04-14,FR,referral,free,user167@mail.com
168,2024-02-24,US,social,free,user168@mail.com
169,2024-01-12,RO,social,basic,user169@mail.com
170,2024-08-01,IT,ads,free,user170@mail.com
171,2024-09-05,UA,organic,free,user171@gmail.com
172,2024-01-05,US,ads,premium,user172@mail.com
173,2024-06-29,DE,referral,free,user173@example.com
174,2024-03-09,UA,referral,free,user174@mail.com
175,2024-08-25,US,ads,free,user175@example.com
176,2024-02-21,CA,ads,free,user176@outlook.com
177,2024-09-09,UA,organic,premium,user177@mail.com
178,2024-05-09,UK,social,premium,user178@example.com
179,2024-11-26,UA,ads,free,user179@mail.com
180,2024-02-10,ES,referral,free,user180@mail.com
181,2024-04-22,DE,social,free,user181@outlook.com
182,2024-02-03,UK,ads,free,user182@outlook.com
183,2024-11-22,CA,referral,basic,user183@mail.com
184,2024-11-04,US,organic,free,user184@mail.com
185,2024-03-21,ES,referral,free,user185@gmail.com
186,2024-08-31,MD,social,basic,user186@gmail.com
187,2024-10-16,NL,organic,basic,user187@mail.com
188,2024-07-17,PL,ads,free,user188@mail.com
189,2024-07-06,UA,organic,free,user189@example.com
190,2024-03-15,IT,organic,free,user190@example.com
191,2024-01-28,UK,unknown,premium,user191@mail.com
192,2024-11-11,US,referral,free,user192@mail.com
193,2024-11-12,PL,organic,basic,user193@mail.com
194,2024-08-19,IT,organic,premium,user194@outlook.com
195,2024-04-21,RO,ads,free,user195@outlook.com
196,2024-04-25,RO,social,free,user196@mail.com
197,2024-09-19,CA,ads,free,user197@mail.com
198,2024-11-11,UA,social,free,user198@example.com
199,2024-11-07,US,ads,free,user199@gmail.com
200,2024-10-05,UA,social,basic,user200@example.com
201,2024-08-23,UA,ads,premium,user201@example.com
202,2024-01-25,UA,social,free,user202@mail.com
203,2024-02-17,CA,referral,basic,user203@mail.com
204,2024-11-12,RO,ads,basic,user204@outlook.com
205,2024-08-08,MD,referral,free,user205@mail.com
206,2024-01-03,,ads,free,user206@mail.com
207,2024-01-30,RO,ads,free,user207@outlook.com
208,2024-09-01,FR,social,free,user208@mail.com
209,2024-01-02,ES,ads,free,user209@example.com
210,2024-02-17,UA,ads,premium,user210@mail.com
211,2024-07-15,US,organic,basic,user211@gmail.com
212,2024-09-09,DE,organic,free,user212@gmail.com
213,2024-08-27,US,organic,,user213@mail.com
214,2024-03-08,DE,social,free,user214@mail.com
215,2024-09-15,UA,referral,free,user215@mail.com
216,2024-03-13,ES,referral,basic,user216@mail.com
217,2024-04-16,UA,social,free,user217@example.com
218,2024-09-25,US,social,free,user218@mail.com
219,2024-08-26,UK,organic,basic,user219@example.com
220,2024-10-26,UA,organic,free,user220@gmail.com
221,2024-08-30,CA,social,premium,user221@mail.com
222,2024-07-23,IT,referral,premium,user222@mail.com
223,2024-01-28,NL,organic,basic,user223@gmail.com
224,2024-05-02,MD,organic,premium,user224@gmail.com
225,2024-03-24,RO,organic,free,user225@gmail.com
226,2024-03-16,FR,referral,free,user226@mail.com
227,2024-12-10,UK,ads,free,user227@gmail.com
228,2024-05-12,US,ads,free,user228@mail.com
229,2024-11-09,US,social,premium,user229@mail.com
230,2024-08-19,UK,ads,basic,user230@example.com
231,2024-10-10,US,ads,free,user231@mail.com
232,2024-06-25,IT,social,free,user232@outlook.com
233,2024-07-27,RO,referral,free,user233@example.com
234,2024-06-21,ES,social,free,user234@example.com
235,2024-02-27,MD,referral,premium,user235@example.com
236,2024-09-18,NL,referral,premium,user236@mail.com
237,2024-03-30,MD,ads,free,user237@gmail.com
238,2024-01-08,CA,referral,basic,user238@mail.com
239,2024-08-25,U K,organic,premium,user239@mail.com
240,2024-02-22,UA,organic,free,user240@gmail.com
241,2024-11-28,ES,referral,free,user241@gmail.com
242,2024-12-03,MD,ads,free,user242@gmail.com
243,2024-11-18,NL,ads,free,user243@mail.com
244,2024-05-03,FR,social,basic,user244@gmail.com
245,2024-01-05,RO,social,free,user245@mail.com
246,2024-11-23,,referral,free,user246@gmail.com
247,2024-05-25,NL,referral,free,user247@mail.com
248,2024-12-08,ZZ,organic,free,user248@mail.com
249,2024-12-07,UA,social,basic,user249@mail.com
250,2024-10-27,ES,ads,free,user250@outlook.com
251,2024-04-04,PL,social,basic,user251@mail.com
252,2024-05-09,ES,organic,free,user252@outlook.com
253,2024-10-26,US,social,free,user253@mail.com
254,,RO,social,free,user254@mail
255,2024-02-19,RO,social,basic,user255@gmail.com
256,2024-07-18,CA,organic,free,user256@gmail.com
257,2024-11-26,US,ads,basic,user257@mail.com
258,2024-09-11,US,ads,free,user258@mail.com
259,2024-07-24,MD,,free,user259@outlook.com
260,2024-01-29,DE,referral,free,user260mail.com
261,2024-08-12,DE,referral,premium,user261@gmail.com
262,2024-12-17,FR,referral,free,user262@example.com
263,2024-02-11,PL,,free,user263@mail.com
264,2024-07-02,ES,referral,free,user264@gmail.com
27545,2024-11-04,PL,social,free,user265@mail.com
266,2024-09-24,FR,organic,free,user266@mail.com
267,,RO,ads,free,user267@example.com
268,2024-09-13,MD,organic,premium,user268@mail.com
269,2024-04-29,DE,social,basic,user269@mail.com
270,2024-04-04,DE,organic,free,user270@gmail.com
271,2024-10-14,NL,ads,basic,user271@gmail.com
272,2024-10-14,FR,ads,free,user272@gmail.com
273,2024-10-31,FR,ads,basic,user273@mail.com
274,2024-11-17,DE,social,free,user274@mail.com
275,2024-06-29,RO,social,basic,user275@example.com
276,2024-06-25,DE,social,free,user276@mail.com
277,2024-10-11,UK,social,basic,user277@mail.com
278,2024-08-27,RO,referral,basic,user278@gmail.com
279,2024-09-12,NL,referral,free,user279@gmail.com
280,2024-10-10,UK,ads,free,user280@mail.com
281,2024-11-08,UK,social,free,user281@mail.com
282,2024-04-21,UK,social,free,user282@outlook.com
283,2024-05-05,ES,referral,basic,user283@outlook.com
284,2024-01-28,RO,social,premium,user284@gmail.com
285,2024-07-27,PL,social,free,user285@gmail.com
286,2024-01-11,IT,ads,free,user286@example.com
287,2024-06-09,DE,organic,basic,user287@gmail.com
288,2024-07-12,PL,social,premium,user288@mail.com
289,2024-04-01,US,organic,free,user289@outlook.com
290,2024-08-01,US,ads,free,user290@mail.com
291,2024-01-09,US,social,free,user291@example.com
292,2024-01-11,DE,social,free,user292@example.com
293,2024-10-18,RO,ads,basic,user293@gmail.com
294,2024-04-29,US,social,free,user294@mail.com
295,2024-02-07,UK,unknown,basic,user295@mail.com
296,2024-07-03,US,organic,free,user296@gmail.com
297,2024-10-02,UK,organic,free,user297@mail.com
298,2024-03-05,US,organic,basic,user298@gmail.com
299,2024-08-15,UK,organic,free,user299@mail.com
300,2024-01-26,NL,social,basic,user300@mail.com
301,2024-01-16,UA,organic,basic,user301@outlook.com
302,2024-07-07,FR,social,free,user302@mail.com
303,2024-07-11,ES,organic,premium,user303@outlook.com
304,2024-08-21,CA,ads,free,user304@outlook.com
305,2024-09-19,CA,ads,free,user305@mail.com
306,2024-12-11,UA,referral,free,user306@mail.com
307,2024-07-01,UA,referral,basic,user307@mail.com
308,2024-04-15,MD,ads,free,user308@mail.com
309,2024-10-10,UK,ads,free,user309@gmail.com
310,2024-03-26,UK,social,basic,user310@mail.com
311,2024-05-29,,ads,basic,user311@gmail.com
312,2024-01-24,ES,referral,free,user312@example.com
313,2024-01-08,PL,referral,free,user313@gmail.com
314,,MD,AD,free,user314@example.com
315,2024-10-22,PL,referral,premium,user315@example.com
316,2024-09-11,PL,organic,free,user316@example.com
317,2024-05-18,PL,referral,basic,user317@mail.com
